id,gender,customer_type,age,type_of_travel,travel_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,class
69571,Female,disloyal Customer,30,Business travel,,2586,2,2,2,4,2,4,4,,3,3,4,4,2,4,0,,neutral
19953,Female,Loyal Customer,66,Personal Travel,Eco,315,,4,3,1,5,,5,,4,3,3,4,4,4,,26,neutral
8913,Female,disloyal Customer,39,Business travel,Business,510,,5,5,1,4,5,4,4,3,5,4,5,4,4,,,satisfied
7655,Female,disloyal Customer,21,Business travel,Business,767,4,0,4,3,4,4,4,,3,2,5,3,4,4,15,,satisfied
100573,Female,Loyal Customer,53,Business travel,,486,,1,1,1,5,4,4,,5,5,5,3,5,4,0,0,satisfied
45197,Female,Loyal Customer,27,,,6,1,5,1,4,5,,5,5,3,5,5,3,4,5,0,45,neutral
98573,Female,Loyal Customer,47,,Business,3221,2,2,2,2,5,5,5,5,5,5,5,3,5,4,34,,satisfied
59420,Female,Loyal Customer,48,Business travel,Business,2399,,3,3,3,4,,5,4,4,4,4,4,4,4,0,,satisfied
82737,Female,Loyal Customer,47,,Business,2007,3,3,3,3,5,5,4,,5,4,5,4,5,4,,0,satisfied
3455,Male,Loyal Customer,61,Business travel,Business,296,0,0,0,2,2,5,5,,3,3,3,4,3,3,69,88,satisfied
47401,Male,Loyal Customer,51,Business travel,Eco,558,,1,2,1,5,5,5,,1,1,3,1,2,5,0,,satisfied
4841,Male,Loyal Customer,79,Business travel,Business,408,,2,2,2,5,3,3,2,2,2,2,4,2,1,0,,dissatisfied
24809,Female,Loyal Customer,27,Business travel,,991,4,2,2,2,4,4,4,,5,3,1,3,2,4,0,,satisfied
115767,Female,Loyal Customer,36,,Eco,447,,1,2,1,1,,1,1,4,2,4,4,4,1,1,,neutral
124058,Male,Loyal Customer,39,Business travel,Business,2153,3,3,3,3,2,3,4,5,5,5,5,3,5,3,0,,satisfied
115309,Male,disloyal Customer,33,,Business,325,,3,3,5,5,3,5,5,5,4,4,3,4,5,0,0,neutral
102165,Female,Loyal Customer,40,Business travel,Business,226,0,0,0,3,5,5,5,5,5,5,5,5,5,4,4,0,satisfied
66668,Male,Loyal Customer,29,Business travel,,802,4,4,4,4,4,,4,4,4,5,5,5,5,4,0,0,satisfied
